student_id,rank,exercise_id,concept,difficulty,predicted_success
0,1,1,linear_algebra,0.232,0.6795
0,2,42,optimization,0.334,0.6663
0,3,20,probability,0.194,0.6563
0,4,21,probability,0.230,0.6382
0,5,40,optimization,0.134,0.6415
1,1,0,linear_algebra,0.196,0.6523
1,2,1,linear_algebra,0.232,0.6195
1,3,31,neural_network,0.254,0.5818
1,4,11,calculus,0.238,0.5825
1,5,40,optimization,0.134,0.5869
2,1,5,linear_algebra,0.530,0.6494
2,2,24,probability,0.415,0.6606
2,3,42,optimization,0.334,0.6673
2,4,1,linear_algebra,0.232,0.7207
2,5,6,linear_algebra,0.555,0.5993
3,1,13,calculus,0.390,0.7009
3,2,34,neural_network,0.473,0.6451
3,3,20,probability,0.194,0.6668
3,4,35,neural_network,0.529,0.6259
3,5,23,probability,0.346,0.7184
4,1,39,neural_network,0.831,0.6822
4,2,18,calculus,0.729,0.6765
4,3,47,optimization,0.713,0.6659
4,4,48,optimization,0.776,0.6551
4,5,37,neural_network,0.689,0.6947
5,1,33,neural_network,0.411,0.6795
5,2,1,linear_algebra,0.232,0.6902
5,3,21,probability,0.230,0.6662
5,4,30,neural_network,0.186,0.6373
5,5,38,neural_network,0.725,0.5721
6,1,18,calculus,0.729,0.6791
6,2,39,neural_network,0.831,0.6956
6,3,45,optimization,0.538,0.7161
6,4,19,calculus,0.803,0.6101
6,5,27,probability,0.676,0.7355
7,1,41,optimization,0.273,0.6255
7,2,33,neural_network,0.411,0.5737
7,3,0,linear_algebra,0.196,0.5929
7,4,11,calculus,0.238,0.5660
7,5,13,calculus,0.390,0.5416
